Lp.;NieruchomoúÊ;Numer;Zmiana od;Liczba mieszkaÒcÛw;Stawka
1;63-300 PLESZEW, BaranÛwek 3;;2019.02.01;4;156
2;63-300 PLESZEW, BaranÛwek 5;204/2024;2023.12.01;4;152
3;63-300 PLESZEW, BaranÛwek 6;970/2023;2023.07.01;2;78
4;63-300 PLESZEW, BaranÛwek 7;1099/2025;2025.04.01;6;228
5;63-300 PLESZEW, BaranÛwek 8;318/2024;2024.02.01;9;351
6;63-300 Pleszew, BaranÛwek 10A;517/2021;2021.03.01;1;38
7;63-300 PLESZEW, BaranÛwek 11A;;2019.02.01;3;117
8;63-300 PLESZEW, BaranÛwek 11B;1559/2024;2025.01.01;4;152
9;63-300 PLESZEW, BaranÛwek 11c i 11d;;2019.02.01;4;156
10;63-300 Pleszew, BaranÛwek 12;1225/2025;2025.04.01;2;78
11;63-300 PLESZEW, BaranÛwek 12;1940/2025;2025.10.01;4;156
12;63-300 PLESZEW, BaranÛwek 12/C;3627/2020;2020.08.01;7;273
13;63-300 Pleszew, BaranÛwek 12D;;2019.02.01;5;195
14;63-300 PLESZEW, BaranÛwek 13;1053/2025;2025.04.01;7;273
15;63-300 PLESZEW, BaranÛwek 14;274/2021;2021.02.01;3;114
16;63-300 PLESZEW, BaranÛwek 15;;2020.06.01;4;156
17;63-300 PLESZEW, BaranÛwek 16;;2020.07.01;4;156
18;63-300 PLESZEW, BaranÛwek 17;1507/2024;2024.10.01;4;156
19;63-300 PLESZEW, Borucin 2;1965/2025;2025.10.01;3;114
20;63-300 PLESZEW, Borucin 3;950/2022;2022.07.01;2;78
21;63-300 PLESZEW, Borucin 4;;2019.02.01;2;78
22;63-300 Pleszew, Borucin 5;167/2025;2025.01.01;6;228
23;63-300 PLESZEW, Borucin 7;2478/2020;2020.08.01;3;114
24;63-300 PLESZEW, Borucin 8;1034/2024;2024.09.01;8;304
25;63-300 Pleszew, Borucin 9A;2793/2020;2020.09.01;4;152
26;63-300 PLESZEW, Borucin 11;1328/2022;2022.09.01;8;312
27;63-300 PLESZEW, Borucin 13;909/2025;2025.03.01;1;38
28;63-300 PLESZEW, Borucin 14;456/2023;2023.02.01;3;117
29;63-300 PLESZEW, Borucin 16;108/2022;2022.01.01;12;468
30;63-300 Pleszew, Borucin 17;1069/2022;2022.07.01;2;76
